,city,latitude,longitude,temperature,humidity,cloudiness,wind speed
0,ushuaia,-54.81,-68.31,30.2,80.0,90.0,17.22
1,saskylakh,71.97,114.09,59.56,89.0,0.0,15.37
2,dikson,73.51,80.55,41.11,100.0,24.0,25.43
3,port elizabeth,-33.92,25.57,55.4,93.0,20.0,6.93
4,rabak,13.18,32.74,73.96,82.0,64.0,9.66
5,tiksi,71.64,128.87,58.03,79.0,24.0,12.01
6,karratha,-20.74,116.85,56.86,63.0,0.0,12.01
7,provideniya,64.42,-173.23,46.4,75.0,90.0,13.42
8,talnakh,69.49,88.39,39.67,95.0,76.0,14.36
9,castro,-42.48,-73.76,42.28,85.0,0.0,8.66
10,lavrentiya,65.58,-170.99,44.17,99.0,56.0,10.45
11,lorengau,-2.02,147.27,78.64,100.0,56.0,2.73
12,rikitea,-23.12,-134.97,75.22,96.0,0.0,16.49
13,asosa,10.07,34.53,60.37,93.0,76.0,2.62
14,sao desiderio,-12.36,-44.97,73.51,39.0,0.0,10.11
15,kavaratti,10.57,72.64,77.65,100.0,76.0,14.47
16,hithadhoo,-0.6,73.08,83.05,100.0,64.0,7.65
17,walvis bay,-22.95,14.51,60.28,95.0,0.0,11.12
18,preobrazheniye,42.9,133.91,61.45,100.0,92.0,2.28
19,sitka,37.17,-99.65,80.44,64.0,76.0,8.43
20,port lincoln,-34.72,135.86,55.6,100.0,92.0,19.28
21,mar del plata,-46.43,-67.52,44.8,50.0,0.0,16.15
22,ribeira grande,38.52,-28.7,76.21,97.0,88.0,16.15
23,port alfred,-33.59,26.89,61.18,94.0,0.0,5.75
24,busselton,-33.64,115.35,56.95,100.0,76.0,21.63
25,vaini,-21.2,-175.2,78.8,65.0,40.0,10.29
26,ilulissat,69.22,-51.1,37.4,69.0,75.0,9.17
27,misratah,32.38,15.09,76.12,98.0,32.0,5.64
28,pisco,-13.71,-76.2,62.6,82.0,90.0,16.11
29,koundara,12.49,-13.3,71.44,97.0,92.0,7.87
30,kodiak,39.95,-94.76,75.92,59.0,1.0,8.05
31,nikolskoye,59.7,30.79,59.0,93.0,90.0,6.71
32,jamestown,-15.94,-5.72,68.2,100.0,56.0,11.45
33,bambous virieux,-20.34,57.76,64.51,91.0,20.0,6.87
34,mount isa,-20.73,139.49,78.8,13.0,0.0,10.29
35,tecoanapa,16.99,-99.26,86.0,74.0,40.0,3.36
36,rorvik,64.86,11.24,53.62,100.0,92.0,12.68
37,qaanaaq,77.48,-69.36,32.74,100.0,20.0,2.73
38,inuvik,68.36,-133.71,51.8,50.0,20.0,6.93
39,kapaa,22.08,-159.32,84.6,79.0,40.0,13.87
40,anchorage,61.22,-149.89,63.55,60.0,40.0,1.83
41,butaritari,3.07,172.79,84.04,100.0,0.0,2.95
42,cape town,-33.93,18.42,55.4,87.0,0.0,9.17
43,hilo,19.71,-155.08,78.53,69.0,90.0,9.17
44,san patricio,19.22,-104.7,87.8,74.0,40.0,9.17
45,rio gallegos,-51.62,-69.22,33.8,80.0,0.0,20.8
46,bathsheba,13.22,-59.52,82.4,83.0,40.0,10.29
47,port hardy,50.7,-127.42,57.2,93.0,75.0,2.24
48,dunedin,-45.87,170.5,52.27,86.0,0.0,3.62
49,husavik,66.04,-17.34,32.0,100.0,0.0,3.36
50,taoudenni,22.68,-3.98,82.15,19.0,0.0,2.62
51,sao fidelis,-21.65,-41.75,64.96,83.0,0.0,6.98
52,san javier,-16.27,-62.5,81.34,46.0,0.0,4.18
53,eureka,40.8,-124.16,61.38,83.0,40.0,5.82
54,hobart,-42.88,147.33,44.6,70.0,0.0,8.05
55,puerto ayora,-0.74,-90.35,73.4,69.0,40.0,14.99
56,ostrovnoy,68.05,39.51,44.89,90.0,0.0,11.34
57,siocon,11.03,124.04,81.97,100.0,24.0,7.65
58,geraldton,-28.77,114.6,57.2,87.0,40.0,17.22
59,soyo,-6.13,12.37,68.29,98.0,8.0,3.74
60,russell,-35.26,174.12,60.55,74.0,0.0,7.2
61,kropotkin,45.43,40.58,74.77,66.0,36.0,8.66
62,hohhot,40.81,111.65,66.2,68.0,40.0,8.95
63,guerrero negro,27.97,-114.04,81.25,57.0,0.0,10.0
64,camargo,-20.64,-65.21,49.48,46.0,92.0,2.39
65,hermanus,-34.42,19.24,39.85,97.0,36.0,3.96
66,bethel,60.79,-161.76,51.08,96.0,90.0,12.75
67,saldanha,-33.01,17.94,51.8,87.0,12.0,4.7
68,konevo,56.45,43.2,59.0,82.0,0.0,4.47
69,verkhnevilyuysk,63.45,120.31,59.2,82.0,88.0,4.85
70,pascagoula,30.37,-88.56,80.1,100.0,1.0,3.36
71,punta arenas,-53.16,-70.91,33.8,74.0,20.0,11.41
72,bluff,-46.6,168.33,49.48,100.0,92.0,6.64
73,foam lake,51.65,-103.53,70.0,57.0,0.0,7.76
74,kavieng,-2.57,150.8,84.04,100.0,76.0,7.31
75,barao de melgaco,-16.19,-55.97,86.0,37.0,0.0,2.17
76,fortuna,40.6,-124.16,61.25,77.0,90.0,10.29
77,khatanga,71.98,102.47,49.12,85.0,64.0,13.47
78,grindavik,63.84,-22.43,42.04,80.0,40.0,6.93
79,east london,-33.02,27.91,68.38,99.0,0.0,12.8
80,peniche,39.36,-9.38,61.7,87.0,0.0,6.93
81,abu dhabi,24.47,54.37,88.74,55.0,0.0,2.24
82,klaksvik,62.23,-6.59,46.4,87.0,76.0,1.12
83,traunreut,47.96,12.6,64.4,82.0,75.0,4.7
84,georgetown,-7.93,-14.42,75.31,100.0,92.0,17.16
85,ambon,-3.7,128.18,84.2,79.0,40.0,3.36
86,athabasca,54.72,-113.29,64.06,68.0,92.0,7.43
87,aklavik,68.22,-135.01,51.8,50.0,20.0,6.93
88,leh,34.16,77.58,21.85,85.0,20.0,1.72
89,sept-iles,50.2,-66.38,57.2,82.0,90.0,5.82
90,lavumisa,-27.31,31.89,52.54,82.0,0.0,4.63
91,miramar,20.64,-103.45,75.2,53.0,90.0,2.84
92,den helder,52.96,4.76,62.02,82.0,40.0,11.41
93,buraydah,26.33,43.97,86.0,30.0,0.0,5.82
94,kahta,37.78,38.62,75.2,47.0,0.0,6.93
95,saint george,32.38,-64.68,82.4,74.0,20.0,4.7
96,aksu,52.04,76.93,50.0,100.0,75.0,8.95
97,saint-philippe,-21.36,55.77,65.37,55.0,0.0,6.93
98,albany,-35.02,117.88,53.08,92.0,92.0,18.5
99,bandarbeyla,9.49,50.81,73.42,82.0,88.0,27.89
100,port macquarie,-31.43,152.91,57.2,47.0,0.0,9.17
101,yakymivka,46.7,35.16,76.12,40.0,12.0,9.22
102,vila franca do campo,37.72,-25.43,73.4,88.0,40.0,9.17
103,ruteng,-8.61,120.46,72.97,97.0,0.0,3.62
104,kysyl-syr,63.9,122.77,57.04,83.0,80.0,4.74
105,orange,-33.28,149.1,46.6,94.0,0.0,4.18
106,lebu,-37.62,-73.65,51.37,100.0,92.0,9.89
107,ponta do sol,17.2,-25.09,77.38,99.0,68.0,12.24
108,tupik,54.43,119.94,57.85,74.0,0.0,3.4
109,hit,33.64,42.83,78.73,31.0,0.0,2.62
110,amga,60.89,131.98,56.5,90.0,88.0,3.62
111,los llanos de aridane,28.66,-17.92,75.2,64.0,0.0,17.22
112,pevek,69.7,170.27,45.88,97.0,88.0,4.97
113,belaya gora,68.54,146.19,59.38,62.0,0.0,6.2
114,touros,-5.2,-35.46,76.75,76.0,0.0,18.05
115,garowe,8.41,48.48,78.1,56.0,0.0,14.14
116,yeppoon,-23.13,150.74,73.4,49.0,20.0,9.17
117,port moresby,-9.47,147.16,77.02,99.0,80.0,23.53
118,wanning,18.8,110.4,79.72,100.0,44.0,21.07
119,yellowknife,62.45,-114.38,57.2,58.0,75.0,6.93
120,norman wells,65.28,-126.83,51.8,62.0,40.0,10.29
121,chuy,-33.69,-53.46,63.34,94.0,92.0,10.33
122,avarua,-21.21,-159.78,73.4,46.0,40.0,17.22
123,harper,4.38,-7.71,78.1,100.0,92.0,8.32
124,tuktoyaktuk,69.44,-133.03,46.4,70.0,75.0,10.29
125,broome,-17.97,122.23,68.0,77.0,75.0,18.34
126,storforshei,66.4,14.52,49.75,81.0,92.0,6.64
127,tasiilaq,65.61,-37.64,41.0,80.0,92.0,19.46
128,katsuura,33.93,134.5,82.4,69.0,40.0,3.36
129,tautira,-17.73,-149.15,77.0,78.0,75.0,5.82
130,oussouye,12.49,-16.54,77.65,100.0,92.0,20.51
131,seguela,7.96,-6.67,72.97,95.0,92.0,6.53
132,shimoda,34.7,138.93,81.27,74.0,20.0,17.22
133,rosario,-32.96,-60.66,68.0,82.0,0.0,3.36
134,agadez,16.97,7.99,74.68,79.0,12.0,6.87
135,erenhot,43.65,111.97,61.18,75.0,0.0,8.55
136,anadyr,64.73,177.51,51.8,81.0,75.0,13.42
137,itoman,26.12,127.67,84.72,70.0,40.0,6.93
138,novo cruzeiro,-17.47,-41.88,62.08,94.0,64.0,9.66
139,kapit,2.02,112.94,74.32,93.0,92.0,2.84
140,guacimo,10.21,-83.68,72.52,68.0,75.0,12.75
141,omboue,-1.57,9.26,75.85,100.0,92.0,11.12
142,grand gaube,-20.01,57.66,71.98,100.0,0.0,12.46
143,dreux,48.74,1.37,59.04,87.0,90.0,4.7
144,kirakira,-10.46,161.92,81.61,100.0,44.0,10.67
145,niesky,51.29,14.82,60.1,71.0,12.0,7.09
146,victoria,-4.62,55.45,77.0,83.0,36.0,9.17
147,zhob,31.34,69.45,54.52,86.0,0.0,1.95
148,dubna,56.76,37.14,65.5,59.0,80.0,3.4
149,tessalit,20.2,1.01,80.98,53.0,8.0,6.98
150,upernavik,72.79,-56.15,37.24,100.0,56.0,20.85
151,ust-tsilma,65.44,52.15,40.75,88.0,0.0,4.07
152,alofi,-19.06,-169.92,77.0,65.0,75.0,16.11
153,kalmunai,7.42,81.82,71.35,100.0,0.0,3.51
154,boa vista,2.82,-60.67,82.4,78.0,40.0,12.75
155,barrow,39.51,-90.4,71.29,89.0,40.0,8.21
156,sabha,27.03,14.43,84.67,29.0,0.0,11.56
157,hualmay,-11.1,-77.61,58.48,93.0,32.0,5.08
158,gazli,40.13,63.45,64.24,40.0,0.0,11.79
159,hay river,60.82,-115.79,57.2,67.0,75.0,9.17
160,oktyabrskoye,56.73,85.44,51.64,96.0,20.0,3.74
161,santa cruz,10.26,-85.58,86.0,62.0,0.0,10.29
162,manaure,11.78,-72.45,82.87,91.0,0.0,25.21
163,brigantine,39.41,-74.36,84.47,72.0,1.0,6.93
164,port hedland,-20.31,118.58,66.2,42.0,0.0,13.87
165,arima,10.64,-61.28,80.6,88.0,20.0,4.7
166,tabas,33.6,56.92,61.27,38.0,0.0,2.73
167,pasir gudang,1.46,103.88,79.61,78.0,75.0,3.36
168,cidreira,-30.17,-50.22,60.82,94.0,20.0,7.76
169,dhidhdhoo,6.88,73.1,78.55,100.0,56.0,10.0
170,salalah,17.01,54.1,75.2,94.0,90.0,4.7
171,margate,-30.86,30.37,63.7,85.0,0.0,12.57
172,oxford,45.73,-63.86,73.15,64.0,0.0,3.85
173,nome,30.04,-94.42,82.26,73.0,1.0,4.7
174,vilhena,-12.74,-60.15,74.32,76.0,0.0,1.95
175,ancud,-41.87,-73.83,43.54,72.0,0.0,8.21
176,arraial do cabo,-22.97,-42.02,70.18,92.0,0.0,15.14
177,kununurra,-15.77,128.74,84.2,48.0,0.0,10.29
178,shingu,33.72,135.99,82.4,83.0,40.0,4.7
179,chokurdakh,70.62,147.9,58.57,63.0,0.0,7.65
180,nelson bay,-32.72,152.14,59.0,51.0,20.0,11.41
181,acapulco,16.86,-99.88,86.0,74.0,40.0,3.36
182,gaya,24.8,85.01,80.6,94.0,40.0,4.7
183,oranjemund,-28.55,16.43,57.22,93.0,0.0,8.99
184,dongying,37.43,118.67,78.64,78.0,8.0,8.66
185,taltal,-25.41,-70.49,54.7,91.0,0.0,1.28
186,kruisfontein,-34.0,24.73,55.06,95.0,0.0,5.86
187,hailar,49.2,119.7,61.45,88.0,20.0,6.64
188,shelburne,44.08,-80.2,71.73,94.0,90.0,9.17
189,tangjiazhuang,33.27,105.76,68.2,84.0,24.0,1.95
190,makakilo city,21.35,-158.09,86.32,51.0,1.0,13.87
191,rocha,-34.48,-54.34,64.78,89.0,12.0,6.98
192,malpe,13.35,74.72,75.2,94.0,75.0,4.7
193,burlatskoye,45.06,43.63,72.34,49.0,20.0,9.66
194,terney,45.05,136.61,62.8,100.0,92.0,7.2
195,bwanga,-3.03,31.76,56.95,78.0,12.0,3.96
196,leningradskiy,69.38,178.42,37.24,100.0,92.0,6.76
197,wadi maliz,36.47,8.55,70.36,56.0,20.0,1.95
198,hofn,64.25,-15.21,43.45,100.0,56.0,4.63
199,byron bay,-28.65,153.62,68.0,45.0,0.0,8.05
200,lebyazhye,59.96,29.42,59.0,93.0,90.0,6.71
201,pangnirtung,66.15,-65.72,38.05,98.0,92.0,2.39
202,alugan,12.22,125.48,81.7,99.0,64.0,3.96
203,constitucion,-35.33,-72.42,49.21,100.0,92.0,1.72
204,firovo,57.48,33.7,58.75,98.0,88.0,4.07
205,bredasdorp,-34.53,20.04,59.0,77.0,92.0,8.05
206,ilebo,-4.33,20.59,77.47,71.0,76.0,2.51
207,cherskiy,68.75,161.3,52.0,67.0,8.0,4.63
208,turukhansk,65.8,87.96,49.12,98.0,92.0,14.47
209,ubauro,28.16,69.73,79.9,71.0,0.0,6.98
210,ergani,38.27,39.76,69.82,42.0,0.0,3.36
211,panaba,21.28,-88.27,82.42,81.0,44.0,4.97
212,gizo,-8.1,156.84,82.42,100.0,20.0,10.22
213,mbandaka,0.05,18.26,75.31,83.0,24.0,3.74
214,bintulu,3.17,113.03,78.8,83.0,75.0,3.36
215,okhotsk,59.36,143.24,58.3,92.0,92.0,7.2
216,clyde river,70.47,-68.59,35.6,93.0,90.0,14.99
217,karak,33.12,71.09,77.92,71.0,0.0,3.06
218,oranjestad,12.52,-70.03,84.2,79.0,40.0,17.22
219,praia da vitoria,38.73,-27.07,75.2,83.0,20.0,15.03
220,barabai,-2.59,115.38,73.24,98.0,76.0,2.84
221,kimbe,-5.56,150.15,79.72,100.0,56.0,2.95
222,srednekolymsk,67.46,153.71,55.15,67.0,8.0,3.18
223,hamilton,32.3,-64.78,82.4,74.0,20.0,4.7
224,iqaluit,63.75,-68.52,42.8,75.0,75.0,18.34
225,port blair,11.67,92.75,77.74,100.0,92.0,16.6
226,kaukauna,44.28,-88.27,65.48,55.0,1.0,5.41
227,thompson,55.74,-97.86,57.2,62.0,75.0,8.05
228,forbes,-33.38,148.01,47.95,98.0,32.0,4.41
229,isangel,-19.55,169.27,71.98,100.0,92.0,14.03
230,almaznyy,48.03,40.04,71.53,33.0,36.0,10.89
231,kondinskoye,59.65,67.41,57.31,93.0,88.0,6.64
232,dingle,52.14,-10.27,56.59,100.0,92.0,6.2
233,ferrol,43.48,-8.23,58.77,87.0,44.0,3.36
234,torbay,47.66,-52.73,53.6,87.0,90.0,10.29
235,wenling,28.38,121.38,79.45,100.0,92.0,18.28
236,zhigansk,66.77,123.37,55.42,76.0,44.0,5.97
237,westport,-41.75,171.6,49.57,100.0,76.0,4.52
238,morro bay,35.37,-120.85,73.08,52.0,1.0,17.22
239,vanavara,60.35,102.28,57.85,73.0,36.0,4.18
240,imbituba,-28.24,-48.67,64.4,88.0,0.0,6.93
241,manyana,-24.78,25.59,53.6,50.0,0.0,6.93
242,bossangoa,6.5,17.45,71.08,89.0,56.0,8.55
243,bikin,46.82,134.25,63.97,95.0,92.0,3.62
244,hobyo,5.35,48.53,74.41,81.0,76.0,17.38
245,quatre cocos,-20.21,57.76,64.51,91.0,20.0,6.87
246,vicuna,-30.03,-70.71,53.6,81.0,90.0,5.82
247,sedan,49.7,4.94,57.2,100.0,88.0,6.08
248,caravelas,-17.73,-39.27,75.58,100.0,88.0,15.03
249,yarim,14.3,44.38,61.54,44.0,76.0,0.6
250,tarashcha,49.56,30.49,58.66,93.0,0.0,7.54
251,imeni poliny osipenko,52.42,136.49,55.87,100.0,92.0,9.44
252,pacific grove,36.62,-121.92,69.76,52.0,1.0,17.22
253,atuona,-9.8,-139.03,79.18,100.0,0.0,14.03
254,nantucket,41.28,-70.1,77.16,83.0,1.0,13.87
255,ojinaga,29.57,-104.42,90.88,33.0,0.0,5.75
256,nyurba,63.29,118.35,62.89,88.0,68.0,5.19
257,fairbanks,64.84,-147.72,56.73,56.0,40.0,6.93
258,kargasok,59.06,80.87,55.78,87.0,68.0,3.96
259,nanortalik,60.14,-45.24,41.2,97.0,92.0,30.58
260,xining,36.62,101.77,55.96,99.0,92.0,3.4
261,kamuli,0.94,33.12,62.44,100.0,48.0,3.62
262,panguna,-6.32,155.48,82.87,81.0,0.0,3.18
263,komsomolskiy,67.55,63.78,42.19,82.0,64.0,8.55
264,wukari,7.87,9.78,71.71,99.0,92.0,7.54
